timestamp_ms,sample_number,imu,ax,ay,az,gx,gy,gz
101400,0,0x6A,-2.185843,-11.419746,14.189439,1.528232,1.818699,2.087785
101400,0,0x6B,11.747562,0.078963,0.770489,1.507463,0.789391,1.963321
101402,1,0x6A,-2.209772,-11.370693,14.196616,1.507768,1.849089,2.114205
101402,1,0x6B,11.885150,0.168694,0.784846,1.483792,0.833831,1.977218
101405,2,0x6A,-2.219343,-11.341979,14.279170,1.489900,1.884977,2.141083
101405,2,0x6B,12.180664,0.344566,0.777667,1.453248,0.880562,2.003180
101407,3,0x6A,-2.191825,-11.290533,14.264812,1.469131,1.917201,2.167961
101407,3,0x6B,12.382857,0.498904,0.793221,1.416444,0.951575,2.050064
101410,4,0x6A,-2.243271,-11.325231,14.273187,1.457219,1.957060,2.194228
101410,4,0x6B,12.559926,0.570688,0.784846,1.348027,0.998917,2.083661
101412,5,0x6A,-2.273182,-11.330014,14.269598,1.442864,1.994780,2.220953
101412,5,0x6B,12.792030,0.713061,0.803988,1.293965,1.041373,2.117412
101415,6,0x6A,-2.309074,-11.423335,14.389239,1.429272,2.033112,2.242639
101415,6,0x6B,12.987046,0.887737,0.830309,1.230893,1.090547,2.155743
101417,7,0x6A,-2.271985,-11.504691,14.452648,1.414917,2.087632,2.285705
101417,7,0x6B,13.205988,1.014557,0.880559,1.162324,1.133460,2.193617
101420,8,0x6A,-2.202593,-11.572886,14.500504,1.414153,2.123673,2.313499
101420,8,0x6B,13.351951,1.144966,0.904487,1.086424,1.176527,2.234240
101422,9,0x6A,-2.121237,-11.659028,14.573486,1.421178,2.159561,2.340377
101422,9,0x6B,13.356736,1.261017,0.782453,1.010677,1.223563,2.279596
101425,10,0x6A,-2.096112,-11.789437,14.616556,1.432937,2.196213,2.367256
101425,10,0x6B,13.456038,1.339981,0.818345,0.935082,1.268309,2.328007
101427,11,0x6A,-2.020739,-11.921043,14.642878,1.447903,2.232713,2.392759
101427,11,0x6B,13.636696,1.477568,0.954736,0.860556,1.314582,2.378709
101430,12,0x6A,-1.929811,-12.078969,14.665610,1.461190,2.269212,2.420553
101430,12,0x6B,13.871193,1.456033,1.140180,0.781755,1.356274,2.433076
101432,13,0x6A,-1.846063,-12.203396,14.727824,1.488831,2.310140,2.444988
101432,13,0x6B,13.984852,1.501496,1.209572,0.710894,1.391246,2.507449
101435,14,0x6A,-1.758725,-12.434303,14.757733,1.517695,2.353359,2.476906
101435,14,0x6B,14.185849,1.508675,1.347159,0.616210,1.437213,2.558762
101437,15,0x6A,-1.751546,-12.534801,14.804395,1.560913,2.420248,2.519208
101437,15,0x6B,14.315062,1.347159,1.556531,0.562454,1.469131,2.600759
101440,16,0x6A,-1.703690,-12.674781,14.846269,1.634675,2.464383,2.547614
101440,16,0x6B,14.390435,1.336391,1.629512,0.518930,1.491122,2.639243
101442,17,0x6A,-1.698904,-12.771690,14.970695,1.687057,2.507754,2.576019
101442,17,0x6B,14.396417,1.326820,1.647458,0.480598,1.522734,2.671619
101445,18,0x6A,-1.661815,-12.853046,15.152550,1.752878,2.552500,2.599537
101445,18,0x6B,14.394025,1.363909,1.674976,0.450513,1.542893,2.711478
101447,19,0x6A,-1.634298,-12.923635,15.348762,1.821447,2.597857,2.628553
101447,19,0x6B,14.348560,1.316052,1.746760,0.419664,1.566869,2.742785
101450,20,0x6A,-1.654637,-13.019347,15.548561,1.885588,2.638021,2.658486
101450,20,0x6B,14.384453,1.258625,1.708475,0.399200,1.589013,2.776994
101452,21,0x6A,-1.659423,-13.129418,15.736399,1.948966,2.682767,2.692694
101452,21,0x6B,14.315062,1.278964,1.700100,0.378431,1.618640,2.811660
