timestamp_ms,sample_number,imu,ax,ay,az,gx,gy,gz
19846,0,0x6A,-4.146762,-8.659625,10.855040,1.947591,1.657125,2.379168
19846,0,0x6B,11.115857,-2.427519,2.166701,0.822835,0.659124,2.649475
19848,1,0x6A,-4.121637,-8.659625,10.749756,1.967750,1.674687,2.383443
19848,1,0x6B,11.155339,-2.441875,2.112862,0.779617,0.666454,2.675437
19851,2,0x6A,-4.094120,-8.633304,10.734202,1.996460,1.704467,2.393217
19851,2,0x6B,11.160125,-2.350948,2.158326,0.739300,0.681420,2.702621
19853,3,0x6A,-4.122834,-8.560324,10.746166,2.011732,1.721876,2.398562
19853,3,0x6B,11.192429,-2.428715,2.183451,0.685238,0.690430,2.727818
19856,4,0x6A,-4.110869,-8.478967,10.759327,2.026240,1.744478,2.403602
19856,4,0x6B,11.242677,-2.370091,2.120041,0.638507,0.698677,2.751184
19858,5,0x6A,-4.084548,-8.365308,10.701900,2.035708,1.769371,2.415972
19858,5,0x6B,11.240285,-2.347359,2.210968,0.576504,0.704480,2.776841
19861,6,0x6A,-4.080959,-8.242078,10.661221,2.039068,1.794264,2.425440
19861,6,0x6B,11.097911,-1.751546,1.471586,0.523664,0.708298,2.803871
19863,7,0x6A,-4.066602,-8.109276,10.578669,2.041512,1.816255,2.432313
19863,7,0x6B,10.901700,-2.340181,2.762514,0.445626,0.735634,2.853352
19866,8,0x6A,-4.060620,-7.998010,10.493724,2.033723,1.841453,2.439949
19866,8,0x6B,10.961520,-2.432304,1.664208,0.397673,0.732733,2.910773
19868,9,0x6A,-4.101298,-7.831708,10.344172,2.022880,1.865430,2.441934
19868,9,0x6B,11.015359,-3.165704,2.603391,0.355829,0.740369,2.927724
19871,10,0x6A,-4.146762,-7.782655,10.246066,2.008983,1.898416,2.456289
19871,10,0x6B,11.079966,-3.025724,1.707279,0.328493,0.737467,2.934444
19873,11,0x6A,-4.195815,-7.755138,10.191032,1.974164,1.917964,2.469117
19873,11,0x6B,11.010573,-3.019742,2.823531,0.286954,0.744034,2.934291
19876,12,0x6A,-4.246064,-7.730014,10.039088,1.950645,1.935068,2.486527
19876,12,0x6B,10.954342,-3.110669,2.092523,0.234114,0.735787,2.934291
19878,13,0x6A,-4.299902,-7.670193,9.985249,1.923004,1.956143,2.501493
19878,13,0x6B,10.997413,-3.714857,2.697908,0.195935,0.727999,2.917645
19881,14,0x6A,-4.333402,-7.635497,9.875179,1.895362,1.973553,2.521346
19881,14,0x6B,11.012966,-3.970889,2.053042,0.160658,0.727999,2.890920
19883,15,0x6A,-4.360919,-7.597212,9.806983,1.869553,1.991268,2.535702
19883,15,0x6B,10.966306,-4.236493,2.464607,0.142332,0.732122,2.860224
19886,16,0x6A,-4.377669,-7.527820,9.840484,1.838246,2.002722,2.554028
19886,16,0x6B,10.814363,-3.565306,3.016153,0.097280,0.744645,2.827543
19888,17,0x6A,-4.389633,-7.459624,9.854840,1.818088,2.021200,2.575255
19888,17,0x6B,10.600205,-3.090331,2.342573,0.053756,0.733344,2.815936
19891,18,0x6A,-4.518846,-7.363912,9.834501,1.793959,2.037235,2.603050
19891,18,0x6B,10.475779,-3.493521,2.926422,-0.052382,0.734565,2.797915
19893,19,0x6A,-4.486543,-7.392625,9.879965,1.759292,2.054492,2.614198
19893,19,0x6B,10.461421,-3.706482,2.143969,-0.094990,0.737314,2.782644
19896,20,0x6A,-4.539185,-7.330412,9.859626,1.736384,2.067779,2.626568
19896,20,0x6B,10.380065,-3.957729,2.723032,-0.131489,0.753655,2.768136
19898,21,0x6A,-4.537988,-7.405786,9.901500,1.717448,2.086105,2.648253
19898,21,0x6B,10.344172,-3.936193,2.256432,-0.150273,0.768010,2.754544
19901,22,0x6A,-4.539185,-7.421340,9.978071,1.698816,2.105958,2.668107
19901,22,0x6B,10.217353,-4.169494,2.725425,-0.162185,0.783129,2.749657
19903,23,0x6A,-4.545166,-7.473982,9.957731,1.689195,2.121229,2.683378
19903,23,0x6B,10.151551,-3.997210,2.435893,-0.180205,0.800233,2.746908
19906,24,0x6A,-4.628915,-7.515856,9.968499,1.685835,2.138334,2.700482
19906,24,0x6B,10.033106,-4.001996,2.792424,-0.196699,0.810771,2.754849
19908,25,0x6A,-4.639683,-7.540980,10.098908,1.695609,2.157118,2.718045
19908,25,0x6B,9.980463,-3.985246,2.555535,-0.221744,0.830777,2.762638
19911,26,0x6A,-4.685147,-7.536195,10.165907,1.721571,2.177582,2.736676
19911,26,0x6B,9.945767,-4.297509,2.496910,-0.226478,0.840398,2.777910
19913,27,0x6A,-4.718646,-7.527820,10.121639,1.773800,2.207973,2.746297
19913,27,0x6B,9.736396,-4.095316,2.809174,-0.243735,0.858877,2.785851
19916,28,0x6A,-4.776074,-7.539784,10.192227,1.811979,2.221564,2.754391
19916,28,0x6B,9.748360,-4.271188,2.714657,-0.258091,0.875675,2.822655
19944,29,0x6A,-5.144568,-7.146164,10.066606,2.454762,2.442239,2.869081
19944,29,0x6B,9.891929,-5.259424,2.754139,-0.364228,0.852157,3.060282
19946,30,0x6A,-5.180461,-7.121040,9.960124,2.527149,2.472019,2.872746
19946,30,0x6B,9.908679,-5.321638,2.641676,-0.370184,0.850477,3.077386
19949,31,0x6A,-5.313262,-7.067202,9.778270,2.563343,2.494926,2.881757
19949,31,0x6B,9.900304,-5.454439,2.763710,-0.381791,0.845590,3.093880
19951,32,0x6A,-5.356334,-7.094719,9.631111,2.592054,2.510198,2.889087
19951,32,0x6B,9.937392,-5.528617,2.561517,-0.391259,0.846048,3.106708
19954,33,0x6A,-5.358726,-7.045667,9.463614,2.617863,2.528371,2.893210
19954,33,0x6B,9.945767,-5.880362,2.535196,-0.406073,0.848186,3.115718
19956,34,0x6A,-5.431707,-6.997810,9.312866,2.636494,2.548224,2.903901
19956,34,0x6B,9.935000,-6.106483,2.583052,-0.410960,0.849866,3.122743
19959,35,0x6A,-5.452046,-6.993024,9.198010,2.650086,2.563343,2.914438
19959,35,0x6B,9.966106,-6.266803,2.500499,-0.420275,0.859946,3.121521
19961,36,0x6A,-5.481957,-6.935596,9.078369,2.654515,2.579378,2.920852
19961,36,0x6B,9.931410,-6.356534,2.645265,-0.432645,0.866512,3.114802
19964,37,0x6A,-5.520242,-6.756135,8.891729,2.648712,2.594956,2.922685
19964,37,0x6B,9.948160,-6.421140,2.592623,-0.439823,0.875064,3.109151
19966,38,0x6A,-5.499903,-6.601798,8.774481,2.629317,2.620154,2.930473
19966,38,0x6B,9.927821,-6.544370,2.740978,-0.455858,0.885296,3.097545
19969,39,0x6A,-5.509474,-6.458229,8.671589,2.583960,2.630233,2.935971
19969,39,0x6B,9.970892,-6.714260,2.708675,-0.470824,0.892016,3.088229
19971,40,0x6A,-5.521439,-6.308677,8.567502,2.538909,2.643672,2.941927
19971,40,0x6B,9.964911,-6.841080,2.919244,-0.489914,0.902401,3.075096
19974,41,0x6A,-5.662615,-6.161518,8.437093,2.489581,2.652988,2.948188
19974,41,0x6B,9.900304,-6.848258,2.988636,-0.503200,0.906829,3.061198
19976,42,0x6A,-5.680561,-6.045466,8.289934,2.427120,2.657264,2.958726
19976,42,0x6B,9.826126,-6.915258,3.218346,-0.525191,0.913549,3.050661
19979,43,0x6A,-5.723632,-5.893522,8.100902,2.350151,2.669023,2.975677
19979,43,0x6B,9.710074,-6.994221,3.422933,-0.542143,0.911564,3.038138
19981,44,0x6A,-5.766702,-5.802595,7.946565,2.268448,2.681851,2.995683
19981,44,0x6B,9.690931,-6.990632,3.515056,-0.562912,0.914465,3.023325
19984,45,0x6A,-5.818149,-5.730810,7.788638,2.175596,2.694985,3.020271
19984,45,0x6B,9.538987,-6.958328,3.631108,-0.598190,0.910189,3.015841
19986,46,0x6A,-5.956932,-5.642276,7.696514,2.082898,2.713769,3.048828
19986,46,0x6B,9.562916,-7.116254,3.568895,-0.621097,0.912480,3.001181
19989,47,0x6A,-6.093323,-5.581259,7.600801,1.945148,2.736065,3.071125
19989,47,0x6B,9.460025,-7.055238,3.756732,-0.648892,0.908509,2.986673
19991,48,0x6A,-6.118448,-5.490332,7.581659,1.853518,2.750726,3.098461
19991,48,0x6B,9.412168,-7.174879,3.717250,-0.671341,0.902248,2.971554
19994,49,0x6A,-6.191429,-5.459225,7.603194,1.763873,2.763707,3.128088
19994,49,0x6B,9.300902,-7.056434,3.834498,-0.693179,0.902248,2.952923
19996,50,0x6A,-6.232106,-5.429315,7.684550,1.690264,2.767983,3.160769
19996,50,0x6B,9.296116,-6.921240,3.425326,-0.723112,0.899499,2.918714
19999,51,0x6A,-6.205786,-5.388636,7.762317,1.619709,2.772106,3.197116
19999,51,0x6B,9.276974,-6.985846,3.099902,-0.826501,0.937525,2.832277
20001,52,0x6A,-6.122036,-5.422136,7.770692,1.559234,2.774397,3.231324
20001,52,0x6B,9.103494,-7.944171,3.835695,-0.851852,0.952339,2.808606
20004,53,0x6A,-6.010770,-5.352744,7.808977,1.499674,2.778062,3.265380
20004,53,0x6B,8.951550,-8.027920,4.037888,-0.752433,0.930348,2.855642
20006,54,0x6A,-5.839684,-5.496314,7.813762,1.450041,2.788905,3.300658
20006,54,0x6B,8.874979,-8.183454,4.295117,-0.648739,0.908204,2.930931
20009,55,0x6A,-5.765506,-5.523831,7.842476,1.399187,2.792265,3.344029
20009,55,0x6B,8.791230,-8.159525,4.149154,-0.464563,0.888656,2.973234
20011,56,0x6A,-5.682954,-5.605187,7.798209,1.383457,2.798068,3.374267
20011,56,0x6B,8.639286,-7.928618,4.474578,-0.383165,0.881020,3.011566
20014,57,0x6A,-5.588438,-5.643472,7.734799,1.383762,2.805093,3.403435
20014,57,0x6B,8.490931,-7.849655,4.365705,-0.310014,0.863000,3.044247
20016,58,0x6A,-5.495117,-5.696114,7.610373,1.395674,2.812882,3.436881
20016,58,0x6B,5.496314,-6.524031,3.998407,0.285580,1.212720,2.748283
20131,59,0x6A,-4.224528,1.129412,0.491725,1.651780,2.278833,3.941303
20131,59,0x6B,5.466404,-6.500103,4.205386,0.286954,1.216691,2.746145
20134,60,0x6A,-4.156333,1.153341,0.431904,1.603979,2.260354,3.925114
20134,60,0x6B,5.327620,-6.357729,3.998407,0.278860,1.227839,2.745839
20136,61,0x6A,-4.131208,1.079163,0.338584,1.545794,2.232102,3.917173
20136,61,0x6B,5.239085,-6.358926,4.237689,0.266948,1.242958,2.736218
20139,62,0x6A,-3.997210,1.099502,0.177069,1.523803,2.193311,3.907858
20139,62,0x6B,5.235496,-6.319444,3.966104,0.241597,1.250594,2.744159
20141,63,0x6A,-4.097709,1.196411,0.173480,1.516320,2.160936,3.905872
20141,63,0x6B,5.125426,-6.448657,3.991228,0.233503,1.265713,2.745534
20144,64,0x6A,-4.144369,1.288535,0.093320,1.519222,2.134058,3.913203
20144,64,0x6B,5.027320,-6.491727,3.929015,0.216704,1.282206,2.746297
20146,65,0x6A,-4.279563,1.506282,0.056231,1.523040,2.105652,3.904651
20146,65,0x6B,4.985446,-6.320641,3.826123,0.199142,1.299463,2.748130
20149,66,0x6A,-4.286742,1.635494,-0.022732,1.526247,2.066252,3.903429
20149,66,0x6B,4.807181,-6.346962,3.811767,0.176998,1.319316,2.752712
20151,67,0x6A,-4.240082,1.831706,-0.216550,1.533883,2.041664,3.902207
20151,67,0x6B,4.790431,-6.198607,3.605984,0.146150,1.364062,2.755308
20154,68,0x6A,-4.285545,2.104488,-0.272782,1.538006,2.013259,3.895640
20154,68,0x6B,4.673182,-5.781060,3.463611,0.118508,1.380555,2.763860
20156,69,0x6A,-4.212564,2.251646,-0.373280,1.551292,1.956601,3.883270
20156,69,0x6B,4.224528,-3.615555,5.584848,0.008858,1.400409,2.779590
20159,70,0x6A,-4.192225,2.368894,-0.512064,1.558928,1.929418,3.881743
20159,70,0x6B,4.872983,-7.538588,2.443072,-0.184787,1.345736,2.826932
20161,71,0x6A,-4.236493,2.589034,-0.553938,1.576032,1.890781,3.878842
20161,71,0x6B,4.808377,-9.512667,2.522035,-0.173944,1.450041,2.777604
20164,72,0x6A,-4.266403,2.760121,-0.519243,1.596191,1.846798,3.877620
20164,72,0x6B,4.578666,-8.946765,2.262414,0.020159,1.506546,2.726139
20166,73,0x6A,-4.150351,2.982653,-0.502493,1.619098,1.815950,3.875634
20166,73,0x6B,4.169494,-8.675179,3.842873,0.072693,1.570535,2.690556
20169,74,0x6A,-4.012764,3.160919,-0.581456,1.647351,1.785559,3.879147
20169,74,0x6B,3.990032,-8.175079,2.938386,0.166461,1.575269,2.661082
20171,75,0x6A,-3.786642,3.353541,-0.482154,1.682934,1.753183,3.864639
20171,75,0x6B,3.906283,-8.337791,4.240082,0.158672,1.602452,2.634356
20174,76,0x6A,-3.521038,3.553342,-0.436690,1.718822,1.726305,3.838677
20174,76,0x6B,4.007978,-8.070992,2.740978,0.197462,1.607797,2.609158
20176,77,0x6A,-3.375077,3.670590,-0.532403,1.784185,1.684919,3.782478
20176,77,0x6B,3.856034,-8.309077,4.113262,0.183718,1.632232,2.581822
20179,78,0x6A,-3.166901,3.876373,-0.498904,1.825876,1.660790,3.736663
20179,78,0x6B,3.847659,-8.080563,3.115455,0.202349,1.627040,2.557387
20181,79,0x6A,-3.022135,3.978068,-0.668794,1.873676,1.644907,3.687183
20181,79,0x6B,3.659822,-7.910672,4.077370,0.193339,1.627192,2.524095
20184,80,0x6A,-2.849852,4.134798,-0.856631,1.928807,1.623527,3.636328
20184,80,0x6B,3.784249,-8.164311,3.649055,0.196699,1.611615,2.495384
20186,81,0x6A,-2.886941,4.371687,-1.045663,1.977371,1.610088,3.591124
20186,81,0x6B,3.643072,-8.230114,4.001996,0.186619,1.590540,2.436436
20189,82,0x6A,-2.707479,4.534399,-1.283749,2.027614,1.600009,3.556916
20189,82,0x6B,3.668197,-8.238488,3.817749,0.185856,1.583057,2.394134
20191,83,0x6A,-3.193222,4.717450,-1.564906,2.080302,1.595733,3.512322
20191,83,0x6B,3.800999,-8.242078,3.954139,0.201738,1.555263,2.354580
20194,84,0x6A,-3.083152,5.278566,-1.934597,2.118481,1.563815,3.463758
20194,84,0x6B,3.862016,-8.270791,3.821338,0.190437,1.545642,2.313652
20196,85,0x6A,-3.249453,5.839684,-2.096112,2.155438,1.554805,3.417944
20196,85,0x6B,3.873980,-8.133204,3.576073,0.214719,1.519680,2.275320
20199,86,0x6A,-3.430111,6.350551,-2.169094,2.162310,1.518153,3.400992
20199,86,0x6B,3.816552,-8.015956,3.634698,0.196240,1.517237,2.236225
20201,87,0x6A,-3.444468,6.837491,-2.350948,2.158798,1.477072,3.366784
20201,87,0x6B,3.840480,-7.485946,3.342773,0.190590,1.500743,2.205071
20315,88,0x6A,-0.355334,19.621147,-9.393025,0.088728,-0.589485,-2.333047
20315,88,0x6B,-0.878166,-7.835298,3.560520,1.037096,0.421955,0.674395
20318,89,0x6A,-0.055035,19.763517,-9.393025,-0.027184,-0.648433,-2.469575
20318,89,0x6B,-0.947558,-7.716853,3.785445,1.067640,0.397979,0.622014
20320,90,0x6A,0.288335,19.909481,-9.515059,-0.145539,-0.698830,-2.613129
20320,90,0x6B,-1.015753,-7.605587,3.695715,1.088256,0.380569,0.572839
20323,91,0x6A,0.570688,20.007587,-9.627522,-0.278555,-0.746172,-2.748741
20323,91,0x6B,-1.136591,-7.467999,3.893123,1.122618,0.355371,0.525344
20325,92,0x6A,0.905683,20.055443,-9.671789,-0.413708,-0.801150,-2.887560
20325,92,0x6B,-1.262214,-7.278966,3.834498,1.155146,0.331853,0.482431
20328,93,0x6A,1.283749,19.975283,-9.622736,-0.545503,-0.858418,-3.019354
20328,93,0x6B,-1.336391,-7.152146,3.854837,1.194089,0.305585,0.447001
20330,94,0x6A,1.580459,19.886749,-9.471989,-0.675464,-0.914618,-3.154814
20330,94,0x6B,-1.532603,-6.849455,3.957729,1.223868,0.268781,0.419206
20333,95,0x6A,1.893919,19.765913,-9.159724,-0.806342,-0.965167,-3.285691
20333,95,0x6B,-1.555335,-6.635297,3.646662,1.269836,0.198989,0.381943
20335,96,0x6A,2.239682,19.334007,-9.054441,-0.935693,-1.016938,-3.482543
20335,96,0x6B,-1.556531,-6.323034,3.553342,1.282206,0.161116,0.357662
20338,97,0x6A,2.532803,19.006191,-8.907282,-1.139111,-1.090394,-3.605785
20338,97,0x6B,-1.482354,-5.949753,3.151347,1.282817,0.128587,0.338725
20340,98,0x6A,2.733800,18.658035,-8.665607,-1.256703,-1.139416,-3.732692
20340,98,0x6B,-1.427319,-5.696114,2.973082,1.265865,0.102167,0.318414
20343,99,0x6A,2.975475,18.290737,-8.413164,-1.355663,-1.179581,-3.862501
20343,99,0x6B,-1.354338,-5.454439,2.669194,1.234711,0.077580,0.294132
20345,100,0x6A,3.189633,17.909082,-8.092526,-1.438282,-1.214706,-3.999640
20345,100,0x6B,-1.306481,-5.199604,2.562713,1.187675,0.058948,0.269086
20348,101,0x6A,3.396612,17.420946,-7.759924,-1.506699,-1.245402,-4.132656
20348,101,0x6B,-1.270589,-4.983053,2.283949,1.125672,0.042150,0.236405
20350,102,0x6A,3.343970,16.943579,-7.435696,-1.555874,-1.277014,-4.273460
20350,102,0x6B,-1.160519,-4.834698,2.234896,1.047634,0.032376,0.200058
20353,103,0x6A,3.493521,16.472191,-6.902097,-1.595580,-1.318094,-4.409378
20353,103,0x6B,-1.074377,-4.724628,2.122434,0.970818,0.018173,0.158520
20355,104,0x6A,3.550949,15.968502,-6.630512,-1.625360,-1.359939,-4.530940
20355,104,0x6B,-1.026521,-4.606184,2.215754,0.893696,0.011301,0.119730
20358,105,0x6A,3.649055,15.710077,-6.563512,-1.665982,-1.439198,-4.670218
20358,105,0x6B,-0.987039,-4.496114,2.258824,0.811993,-0.013592,0.052687
20360,106,0x6A,3.713661,15.578472,-6.605387,-1.691180,-1.491733,-4.747339
20360,106,0x6B,-0.879362,-4.499703,2.264807,0.694859,-0.030849,0.007941
20363,107,0x6A,3.936193,15.388243,-6.723832,-1.720044,-1.559234,-4.816520
20363,107,0x6B,-0.751346,-4.462614,2.309074,0.621250,-0.035888,-0.032834
20365,108,0x6A,4.189833,15.256638,-6.771688,-1.750282,-1.608866,-4.878522
20365,108,0x6B,-0.649651,-4.407579,2.353341,0.556956,-0.052229,-0.069486
20368,109,0x6A,4.547560,15.029319,-6.727421,-1.780519,-1.646587,-4.940831
20368,109,0x6B,-0.569492,-4.365705,2.376073,0.498619,-0.056658,-0.105374
20370,110,0x6A,4.091727,14.701502,-6.713064,-1.805259,-1.668731,-4.999474
20370,110,0x6B,0.032303,-4.146762,2.041078,0.441656,-0.042913,-0.120035
20373,111,0x6A,5.227121,14.317454,-6.297909,-1.834276,-1.716073,-5.003597
20373,111,0x6B,-0.132802,-4.442276,2.600998,0.393092,-0.020311,-0.132558
20375,112,0x6A,6.756135,13.282558,-6.302695,-1.871691,-1.710728,-5.003597
20375,112,0x6B,-0.307478,-4.554738,2.404787,0.367741,-0.023518,-0.146455
20378,113,0x6A,6.666404,12.297911,-6.150751,-1.869400,-1.567786,-5.003597
20378,113,0x6B,-0.351745,-4.661219,2.571088,0.340710,-0.025809,-0.169210
20380,114,0x6A,6.722635,11.235499,-5.825326,-1.836261,-1.549001,-5.003597
