timestamp_ms,sample_number,imu,ax,ay,az,gx,gy,gz
4426,0,0x6A,3.269792,4.876573,7.923832,0.022602,0.027642,-0.043524
4426,0,0x6B,-0.027517,-0.015553,9.940982,0.002443,-0.002596,-0.010079
4428,1,0x6A,3.444468,4.834698,7.969296,0.023366,0.028711,-0.044440
4428,1,0x6B,-0.026321,-0.009571,9.946964,0.000764,0.001374,-0.012675
4431,2,0x6A,3.334399,4.755735,7.960921,0.028405,0.046731,-0.060628
4431,2,0x6B,0.005982,0.023928,9.949356,0.001985,-0.001680,-0.010537
4433,3,0x6A,3.379862,4.829913,7.926225,0.036805,0.045509,-0.075136
4433,3,0x6B,-0.010768,-0.004786,9.968499,0.005192,-0.003054,-0.010079
4436,4,0x6A,3.420540,4.789234,7.913064,0.032376,0.043371,-0.087354
4436,4,0x6B,-0.016750,0.003589,9.963714,0.000611,-0.002138,-0.011606
4438,5,0x6A,3.250650,4.748557,7.933403,0.032223,0.042608,-0.094990
4438,5,0x6B,-0.005982,0.001196,9.962517,0.000916,-0.000764,-0.010690
4441,6,0x6A,3.140580,4.731807,7.952547,0.045357,0.040623,-0.095600
4441,6,0x6B,-0.001196,-0.019143,9.966106,0.000458,0.001833,-0.011606
4443,7,0x6A,3.105884,4.809574,7.987242,0.055283,0.038332,-0.089492
4443,7,0x6B,-0.003589,0.011964,9.956535,0.000305,-0.001374,-0.009163
4446,8,0x6A,3.171686,4.926822,8.024331,0.061545,0.040623,-0.079871
4446,8,0x6B,0.013161,-0.003589,9.933803,-0.000153,-0.000458,-0.011759
4448,9,0x6A,3.192025,4.962714,8.027920,0.065515,0.046884,-0.072235
4448,9,0x6B,-0.011964,-0.029910,9.960124,0.002138,0.000153,-0.010079
4451,10,0x6A,3.089134,4.937590,7.982457,0.071929,0.048717,-0.060934
4451,10,0x6B,-0.026321,-0.008375,9.968499,-0.000458,-0.001527,-0.009927
4453,11,0x6A,3.090331,4.868198,7.935796,0.075136,0.042913,-0.053145
4453,11,0x6B,0.005982,-0.016750,9.969696,0.001374,-0.001069,-0.011759
4456,12,0x6A,3.203990,4.926822,7.878369,0.072235,0.033750,-0.048717
4456,12,0x6B,-0.004786,-0.015553,9.963714,0.001833,-0.000764,-0.012065
4458,13,0x6A,2.951547,4.850252,7.741978,0.064904,0.035736,-0.054978
4458,13,0x6B,0.008375,-0.041874,9.985249,0.000458,0.000000,-0.010385
4461,14,0x6A,2.720639,5.073980,7.787441,0.054978,0.026420,-0.047037
4461,14,0x6B,0.000000,-0.020339,9.964911,-0.001374,0.001527,-0.011148
4463,15,0x6A,2.707479,5.442476,7.558927,0.034361,-0.017715,-0.031154
4463,15,0x6B,-0.023928,-0.038285,9.978071,0.001069,0.000458,-0.011454
4466,16,0x6A,2.659622,5.627919,7.424929,-0.024435,-0.036652,-0.030391
4466,16,0x6B,0.022732,-0.061017,9.955338,0.003207,-0.000916,-0.011301
4468,17,0x6A,2.717050,5.641079,7.435696,-0.081092,-0.038179,-0.006261
4468,17,0x6B,0.001196,-0.058624,9.996017,0.000916,0.001680,-0.009468
4471,18,0x6A,2.610569,5.521439,7.314859,-0.136834,0.042761,-0.010537
4471,18,0x6B,-0.031107,-0.049053,9.949356,0.002749,-0.000764,-0.011301
4473,19,0x6A,2.538785,5.173283,7.396214,-0.119424,0.030849,0.010690
4473,19,0x6B,-0.049053,-0.064606,9.966106,0.003207,-0.001069,-0.010385
4476,20,0x6A,2.809174,5.137390,7.670193,-0.146150,0.010537,0.087659
4476,20,0x6B,-0.013161,-0.047856,9.970892,0.001985,-0.001833,-0.008399
4478,21,0x6A,3.047260,4.887341,7.801798,-0.201433,-0.036805,0.169821
4478,21,0x6B,-0.007178,-0.023928,9.957731,0.001374,-0.003818,-0.010996
4481,22,0x6A,3.479164,4.901697,7.987242,-0.254273,-0.059407,0.233656
4481,22,0x6B,-0.015553,-0.057428,9.994821,0.001985,0.001222,-0.010996
4483,23,0x6A,3.450450,4.926822,8.036295,-0.253051,-0.060934,0.217773
4483,23,0x6B,-0.023928,-0.035892,9.940982,0.003665,-0.001374,-0.011301
4486,24,0x6A,3.422933,4.639683,8.281560,-0.228616,-0.047953,0.193644
4486,24,0x6B,-0.070588,-0.045464,9.974482,0.002138,-0.001680,-0.010996
4488,25,0x6A,3.287739,4.437490,8.321041,-0.200211,-0.041692,0.192881
4488,25,0x6B,-0.032303,-0.051446,9.935000,0.001069,0.001527,-0.010385
4491,26,0x6A,3.382255,4.418347,8.467003,-0.154243,-0.044288,0.169210
4491,26,0x6B,-0.029910,-0.044267,9.968499,0.004276,-0.000764,-0.012065
4493,27,0x6A,3.452843,4.517649,8.499306,-0.102778,-0.051771,0.143401
4493,27,0x6B,-0.032303,-0.055035,9.943375,0.000458,0.002291,-0.010385
4496,28,0x6A,3.528217,4.624130,8.487342,-0.063835,-0.049022,0.123242
4496,28,0x6B,-0.023928,-0.052642,9.943375,0.002749,-0.000458,-0.010232
4498,29,0x6A,3.562913,4.552345,8.423933,-0.020464,-0.041997,0.100335
4498,29,0x6B,-0.025125,0.019143,9.972088,0.002596,0.001069,-0.011148
4529,30,0x6A,3.135794,4.962714,8.002795,0.036041,0.085216,-0.101862
4529,30,0x6B,-0.016750,0.025125,9.975677,0.002749,-0.002291,-0.012065
4531,31,0x6A,3.203990,5.178068,7.708478,0.040623,0.037110,-0.128129
4531,31,0x6B,0.003589,0.015553,9.937392,0.002138,-0.002902,-0.011301
4534,32,0x6A,3.249453,5.081159,7.995617,-0.006109,0.018173,-0.121409
4534,32,0x6B,0.017946,0.009571,9.970892,0.002596,-0.004429,-0.012217
4536,33,0x6A,2.732604,4.844270,7.694121,-0.010537,0.005651,-0.109498
4536,33,0x6B,-0.009571,0.014357,9.920643,0.003665,-0.001069,-0.012370
4539,34,0x6A,2.734996,4.869394,7.813762,0.007178,0.020769,-0.080940
4539,34,0x6B,-0.022732,-0.001196,9.958928,0.001833,0.002902,-0.012065
4541,35,0x6A,2.528017,4.969893,7.954939,0.000916,0.026114,-0.026878
4541,35,0x6B,-0.032303,-0.031107,9.972088,0.002443,-0.000916,-0.011759
4544,36,0x6A,2.895315,5.060820,8.012366,0.012065,0.007178,0.017715
4544,36,0x6B,0.004786,0.009571,9.966106,0.002291,-0.000764,-0.009927
4546,37,0x6A,3.047260,5.314459,7.999206,-0.005651,0.024282,0.064294
4546,37,0x6B,0.010768,0.000000,9.963714,0.003207,-0.001527,-0.009927
4549,38,0x6A,3.440879,5.249853,8.007581,0.001680,-0.010079,0.067042
4549,38,0x6B,-0.005982,-0.007178,9.974482,-0.000611,-0.000458,-0.011759
4551,39,0x6A,3.225525,4.773681,7.868797,-0.019242,0.002443,0.071624
4551,39,0x6B,0.017946,0.007178,9.962517,0.000153,-0.002596,-0.010843
4554,40,0x6A,3.054438,4.604987,7.774281,-0.011606,-0.009163,0.072693
4554,40,0x6B,-0.009571,-0.014357,9.968499,0.001374,0.002138,-0.011606
4556,41,0x6A,3.044867,4.601398,7.782655,-0.010385,-0.014508,0.071624
4556,41,0x6B,-0.010768,-0.044267,9.957731,-0.001222,-0.000611,-0.011606
4559,42,0x6A,3.090331,4.871787,7.864012,-0.014661,-0.017868,0.077122
4559,42,0x6B,-0.011964,-0.022732,9.974482,0.001222,-0.000611,-0.010385
4561,43,0x6A,3.209971,5.096713,7.953743,-0.022449,-0.024740,0.072693
4561,43,0x6B,-0.026321,-0.029910,9.952947,0.003207,-0.001069,-0.010996
4564,44,0x6A,3.425326,5.000999,7.965706,-0.026878,-0.026420,0.080023
4564,44,0x6B,0.009571,-0.028714,9.974482,0.003665,-0.004887,-0.012675
4566,45,0x6A,3.320041,4.816752,7.880762,-0.037721,-0.018173,0.072235
4566,45,0x6B,0.004786,-0.019143,9.966106,0.002902,0.003054,-0.009774
4569,46,0x6A,3.212364,4.657629,7.832905,-0.038026,-0.014508,0.062156
4569,46,0x6B,0.001196,-0.049053,9.955338,0.001374,0.002749,-0.010996
4571,47,0x6A,3.196811,4.701897,7.826923,-0.037721,-0.017410,0.053909
4571,47,0x6B,0.004786,-0.037089,9.979266,0.000611,-0.003818,-0.010690
4574,48,0x6A,3.182454,4.797609,7.848458,-0.042302,-0.019853,0.045662
4574,48,0x6B,-0.011964,-0.037089,9.949356,0.002596,0.000764,-0.013897
4576,49,0x6A,3.239882,4.840680,7.896315,-0.043371,-0.024893,0.050244
4576,49,0x6B,-0.031107,-0.049053,9.958928,0.001680,0.001527,-0.010843
4579,50,0x6A,3.367898,4.843073,8.014760,-0.047189,-0.004734,0.051313
