timestamp_ms,sample_number,imu,ax,ay,az,gx,gy,gz
230597,0,0x6A,9.377472,-1.094716,0.732204,-1.164920,-0.448681,-0.325591
230597,0,0x6B,9.292527,-1.811367,1.015753,-0.418748,-0.473421,-0.204793
230599,1,0x6A,9.375079,-0.952343,0.583849,-1.189507,-0.446390,-0.336434
230599,1,0x6B,9.267403,-1.758725,0.987039,-0.432951,-0.480446,-0.211970
230602,2,0x6A,9.399008,-0.866202,0.419940,-1.220967,-0.440892,-0.347582
230602,2,0x6B,9.209974,-1.657030,0.955933,-0.448986,-0.490983,-0.217010
230604,3,0x6A,9.410972,-0.759721,0.241675,-1.276250,-0.437532,-0.355065
230604,3,0x6B,9.158529,-1.579263,1.000200,-0.465937,-0.497397,-0.220522
230607,4,0x6A,9.393025,-0.643669,0.080160,-1.314735,-0.436769,-0.358425
230607,4,0x6B,9.104691,-1.465604,0.979861,-0.484416,-0.514654,-0.229227
230609,5,0x6A,9.373883,-0.545564,-0.061017,-1.355052,-0.436310,-0.363618
230609,5,0x6B,9.077173,-1.320838,0.921237,-0.525802,-0.541227,-0.234420
230612,6,0x6A,9.337990,-0.424726,-0.248854,-1.397660,-0.435700,-0.367894
230612,6,0x6B,9.215956,-1.156930,0.731007,-0.555277,-0.560316,-0.240375
230614,7,0x6A,9.176475,-0.336192,-0.421137,-1.444238,-0.444557,-0.388358
230614,7,0x6B,9.133405,-1.137787,0.863809,-0.591928,-0.577879,-0.233961
230617,8,0x6A,9.396614,-0.245264,-0.565903,-1.505172,-0.462120,-0.406225
230617,8,0x6B,9.146564,-1.036092,0.762114,-0.631787,-0.604909,-0.243735
230619,9,0x6A,9.296116,-0.197408,-0.783650,-1.574811,-0.457080,-0.407600
230619,9,0x6B,9.139386,-0.908076,0.642473,-0.675159,-0.623541,-0.247553
230622,10,0x6A,9.349954,-0.172283,-0.832702,-1.641242,-0.466701,-0.434478
230622,10,0x6B,9.095119,-0.825524,0.861416,-0.715476,-0.647823,-0.251066
230624,11,0x6A,9.381062,-0.107677,-0.878166,-1.749823,-0.468381,-0.450666
230624,11,0x6B,9.152547,-0.751346,0.774078,-0.763887,-0.687529,-0.256563
230627,12,0x6A,9.420543,0.005982,-0.878166,-1.822669,-0.469755,-0.466701
230627,12,0x6B,9.263812,-0.666401,0.424726,-0.816116,-0.721432,-0.258549
230629,13,0x6A,9.483953,0.215354,-0.888934,-1.899180,-0.474948,-0.485027
230629,13,0x6B,9.395419,-0.624527,0.128016,-0.877355,-0.747699,-0.259160
230632,14,0x6A,9.620344,0.500100,-0.936790,-1.985007,-0.480446,-0.502131
230632,14,0x6B,9.531809,-0.553938,0.041874,-0.929279,-0.766178,-0.262825
230634,15,0x6A,9.674182,0.827917,-1.006182,-2.075262,-0.487470,-0.528704
230634,15,0x6B,9.594023,-0.592224,-0.116052,-1.018618,-0.801761,-0.260839
230637,16,0x6A,9.828520,1.164108,-1.104288,-2.184760,-0.495717,-0.552375
230637,16,0x6B,9.687343,-0.565903,-0.342174,-1.075123,-0.817490,-0.255800
230639,17,0x6A,9.879965,1.422533,-1.217947,-2.310140,-0.498619,-0.576657
230639,17,0x6B,9.797412,-0.628116,-0.526421,-1.137889,-0.828944,-0.249997
