timestamp_ms,sample_number,imu,ax,ay,az,gx,gy,gz
19324,0,0x6A,-0.853041,-10.645668,12.198609,1.781741,2.354580,2.569299
19324,0,0x6B,12.461822,0.713061,2.544767,1.099252,2.125200,1.921018
19327,1,0x6A,-0.921237,-10.627722,12.230913,1.824196,2.376571,2.586556
19327,1,0x6B,12.532409,0.704686,2.742175,1.071152,2.168266,1.920102
19329,2,0x6A,-0.970290,-10.596614,12.169896,1.863139,2.391079,2.611602
19329,2,0x6B,12.539587,0.909273,2.683551,1.036791,2.203544,1.918880
19332,3,0x6A,-0.922433,-10.576276,12.129219,1.897500,2.410627,2.630996
19332,3,0x6B,12.556337,1.280160,2.804389,0.992961,2.239126,1.924836
19334,4,0x6A,-0.952343,-10.608580,12.100504,1.928502,2.435214,2.650239
19334,4,0x6B,12.618549,1.588834,2.810370,0.903470,2.290134,1.943468
19337,5,0x6A,-0.987039,-10.685149,12.033505,1.950340,2.457511,2.661387
19337,5,0x6B,12.643675,1.932204,2.781656,0.824210,2.330604,1.960572
19339,6,0x6A,-1.055235,-10.795219,11.959327,1.971262,2.476142,2.671925
19339,6,0x6B,12.665211,2.047060,2.748157,0.734260,2.362827,1.984243
19342,7,0x6A,-1.097109,-10.888540,11.922238,1.990504,2.494926,2.678186
19342,7,0x6B,12.659227,2.106880,2.785245,0.647823,2.402686,2.001347
19344,8,0x6A,-1.208375,-10.975878,11.816955,2.012954,2.510351,2.686891
19344,8,0x6B,12.751351,1.444068,2.811567,0.581696,2.444835,2.017535
19347,9,0x6A,-1.286142,-11.079966,11.766706,2.030363,2.525164,2.698039
19347,9,0x6B,12.897314,0.745364,2.851048,0.570090,2.488512,2.020131
19349,10,0x6A,-1.252643,-11.203196,11.727223,2.055256,2.537229,2.715907
19349,10,0x6B,12.850654,0.607777,3.087938,0.598801,2.527760,2.020437
19352,11,0x6A,-1.229911,-11.325231,11.723635,2.070833,2.556776,2.738356
19352,11,0x6B,12.904492,0.502493,3.242275,0.637591,2.563496,2.024255
19354,12,0x6A,-1.092324,-11.426925,11.682956,2.085952,2.573423,2.770121
19354,12,0x6B,12.991830,0.625723,3.394219,0.676381,2.583655,2.024407
19357,13,0x6A,-0.975075,-11.510673,11.653047,2.093435,2.589763,2.789058
19357,13,0x6B,13.105491,0.598206,3.570091,0.719905,2.607478,2.026393
19359,14,0x6A,-0.902094,-11.569298,11.556138,2.088243,2.601522,2.804177
19359,14,0x6B,13.100704,0.693919,3.655036,0.788474,2.641534,2.042581
19362,15,0x6A,-0.796810,-11.545370,11.507084,2.083508,2.617558,2.816242
19362,15,0x6B,13.217952,0.626920,3.595216,0.824210,2.663678,2.053729
19364,16,0x6A,-0.754936,-11.580066,11.485550,2.078316,2.632829,2.827695
19364,16,0x6B,13.189239,0.838684,3.649055,0.857349,2.676659,2.065030
19367,17,0x6A,-0.673580,-11.487942,11.453246,2.073582,2.644130,2.838996
19367,17,0x6B,13.148561,1.030110,3.638287,0.875828,2.698650,2.077553
19369,18,0x6A,-0.527617,-11.435300,11.393426,2.065641,2.662609,2.850145
19369,18,0x6B,13.099506,1.233500,3.582056,0.877355,2.719725,2.089159
19372,19,0x6A,-0.464208,-11.368300,11.337194,2.049911,2.680324,2.864500
19372,19,0x6B,13.109079,1.209572,3.378666,0.865749,2.737134,2.097406
19374,20,0x6A,-0.484547,-11.449656,11.292927,2.035098,2.705064,2.884506
19374,20,0x6B,13.020545,1.616352,3.375077,0.847728,2.766456,2.102904
19377,21,0x6A,-0.509671,-11.478370,11.247463,2.001653,2.723848,2.902679
19377,21,0x6B,12.990635,1.548156,3.145365,0.818254,2.795777,2.107943
19379,22,0x6A,-0.528814,-11.503495,11.210374,1.970499,2.738814,2.923448
19379,22,0x6B,12.861422,1.825724,3.226721,0.776257,2.829528,2.110845
19382,23,0x6A,-0.480957,-11.578869,11.125429,1.939192,2.756377,2.946814
19382,23,0x6B,12.794422,1.585245,3.053242,0.723417,2.860529,2.109012
19384,24,0x6A,-0.490529,-11.642279,10.995021,1.898416,2.776994,2.971554
19384,24,0x6B,12.616158,1.720440,3.275774,0.676228,2.897181,2.095115
19387,25,0x6A,-0.443869,-11.757134,10.936397,1.868179,2.793945,2.989422
19387,25,0x6B,12.357734,2.193022,3.413362,0.577879,2.914743,2.084272
19389,26,0x6A,-0.410369,-11.855240,10.910075,1.838704,2.817311,3.016453
19389,26,0x6B,12.296716,1.744368,3.225525,0.493579,2.932611,2.070222
19392,27,0x6A,-0.337388,-11.919846,10.819147,1.828167,2.843425,3.045316
19392,27,0x6B,12.186646,1.678565,3.355934,0.423482,2.942996,2.053271
19394,28,0x6A,-0.337388,-11.973685,10.798809,1.820378,2.867707,3.086549
19394,28,0x6B,12.139985,1.469193,3.512664,0.369268,2.952923,2.033112
19423,29,0x6A,-1.167697,-11.180464,10.552349,2.029142,3.161227,3.409086
19423,29,0x6B,10.718650,1.786242,4.593023,-0.387747,2.900846,2.082440
