timestamp_ms,sample_number,imu,ax,ay,az,gx,gy,gz,temp
148772,0,0x6A,-2.566302,-5.173283,7.913064,-0.274431,-0.383929,-0.149967,18.94
148772,0,0x6B,1.550549,-1.871187,9.701700,0.091324,0.243124,0.033903,21.07
148774,1,0x6A,-2.561517,-4.882555,7.866405,-0.252593,-0.370184,-0.170737,18.94
148774,1,0x6B,1.567299,-1.853241,9.742377,0.082772,0.242819,0.029627,21.07
148777,2,0x6A,-1.926222,-4.939982,7.998010,-0.209374,-0.369573,-0.202960,18.94
148777,2,0x6B,1.551746,-1.873580,9.754342,0.074220,0.237779,0.024893,21.07
148779,3,0x6A,-2.252842,-5.023731,7.908279,-0.148440,-0.376140,-0.265879,18.94
148779,3,0x6B,1.573281,-1.879562,9.775877,0.066279,0.233503,0.020159,21.07
148782,4,0x6A,-2.384448,-5.137390,7.667800,-0.122326,-0.379500,-0.296422,18.91
148782,4,0x6B,1.576870,-1.890330,9.765109,0.056658,0.234572,0.014050,21.07
148784,5,0x6A,-2.495714,-5.357530,7.451250,-0.138056,-0.367130,-0.317803,18.91
148784,5,0x6B,1.478764,-1.994418,9.767502,0.048564,0.226478,0.002749,21.07
148787,6,0x6A,-2.391626,-5.657829,7.256234,-0.146302,-0.363923,-0.333227,18.91
148787,6,0x6B,1.473979,-1.920240,9.748360,0.057421,0.231518,0.009163,21.09
148789,7,0x6A,-2.408376,-5.690132,7.165308,-0.147066,-0.376140,-0.333532,18.91
148789,7,0x6B,1.460818,-1.878366,9.705289,0.060781,0.226173,0.010385,21.09
148792,8,0x6A,-2.384448,-5.934200,7.105487,-0.136834,-0.393855,-0.345597,18.91
148792,8,0x6B,1.529014,-1.847259,9.608379,0.056200,0.222355,0.002902,21.09
148794,9,0x6A,-2.505286,-5.972486,6.994221,-0.142026,-0.418901,-0.342695,18.91
148794,9,0x6B,1.578067,-1.855634,9.548558,0.040928,0.222508,-0.015424,21.09
148797,10,0x6A,-2.593820,-5.970093,6.860223,-0.203876,-0.428522,-0.327424,18.91
148797,10,0x6B,1.683351,-1.865205,9.498309,0.020159,0.227395,-0.036499,21.09
148799,11,0x6A,-2.681158,-5.944968,6.720242,-0.244652,-0.432493,-0.314748,18.91
148799,11,0x6B,1.640280,-1.847259,9.513863,0.004123,0.232282,-0.053756,21.09
148802,12,0x6A,-2.528017,-5.772685,6.794420,-0.261450,-0.457996,-0.304974,18.91
148802,12,0x6B,1.634298,-1.848456,9.498309,-0.012523,0.238696,-0.072388,21.09
148804,13,0x6A,-2.505286,-5.687739,6.853044,-0.287107,-0.476475,-0.315817,18.91
148804,13,0x6B,1.682154,-1.818545,9.451650,-0.030238,0.244652,-0.088881,21.09
148807,14,0x6A,-2.511267,-5.648258,6.825527,-0.319635,-0.494954,-0.316581,18.91
148807,14,0x6B,1.648655,-1.824527,9.479167,-0.037568,0.257480,-0.101404,21.09
148809,15,0x6A,-2.214557,-5.589634,6.862615,-0.328035,-0.514807,-0.324369,18.91
148809,15,0x6B,1.616352,-1.757528,9.449257,-0.038637,0.272140,-0.118050,21.09
148812,16,0x6A,-1.732404,-5.601598,6.975078,-0.330325,-0.543975,-0.346208,18.91
148812,16,0x6B,1.657030,-1.635494,9.416954,-0.038332,0.285732,-0.119271,21.09
148814,17,0x6A,-2.281556,-6.101698,7.039685,-0.314748,-0.585209,-0.404087,18.91
148814,17,0x6B,1.657030,-1.586441,9.469596,-0.032987,0.298102,-0.118508,21.09
148817,18,0x6A,-3.206382,-6.671190,7.156933,-0.294284,-0.660956,-0.394008,18.91
148817,18,0x6B,1.685744,-1.512264,9.519845,-0.024282,0.302989,-0.113468,21.09
148819,19,0x6A,-3.136991,-6.961918,7.351948,-0.362090,-0.643852,-0.311236,18.90
148819,19,0x6B,1.683351,-1.450051,9.609575,-0.015882,0.312610,-0.107360,21.09
148822,20,0x6A,-2.973082,-6.722635,7.310073,-0.455095,-0.573297,-0.214872,18.90
148822,20,0x6B,1.695315,-1.448854,9.637094,-0.010843,0.301615,-0.107970,21.09
148824,21,0x6A,-2.699104,-6.128019,7.119844,-0.484569,-0.535118,-0.162643,18.90
148824,21,0x6B,1.698904,-1.420140,9.658628,-0.005345,0.307418,-0.100640,21.07
148827,22,0x6A,-2.354537,-5.385047,7.081559,-0.464563,-0.539547,-0.161116,18.90
148827,22,0x6B,1.716850,-1.398605,9.668200,0.000916,0.300851,-0.099266,21.07
148829,23,0x6A,-2.179861,-5.071588,7.207181,-0.445321,-0.547946,-0.209221,18.90
148829,23,0x6B,1.746760,-1.421337,9.676576,0.003207,0.296117,-0.095906,21.07
148832,24,0x6A,-2.179861,-5.400600,7.514659,-0.435547,-0.554818,-0.270308,18.90
148832,24,0x6B,1.801795,-1.403391,9.603594,0.013592,0.295201,-0.092088,21.07
148834,25,0x6A,-2.587838,-6.262017,7.735996,-0.413250,-0.557109,-0.313374,18.90
148834,25,0x6B,1.822134,-1.458425,9.629915,0.025962,0.287259,-0.087201,21.07
148863,26,0x6A,-2.361716,-5.117051,8.067401,-0.432493,-0.371711,-0.177151,18.92
148863,26,0x6B,1.862812,-1.264607,9.944571,0.118202,0.259770,-0.043219,21.07
148865,27,0x6A,-2.734996,-5.241478,8.091330,-0.430965,-0.350026,-0.205251,18.92
148865,27,0x6B,1.883151,-1.289732,9.954143,0.119577,0.257938,-0.038179,21.07
148868,28,0x6A,-2.275574,-5.327620,8.209774,-0.414319,-0.325286,-0.223882,18.92
148868,28,0x6B,1.806581,-1.282553,9.987641,0.118813,0.251524,-0.037721,21.07
148870,29,0x6A,-1.649851,-5.886344,8.227720,-0.356898,-0.297339,-0.269392,18.92
148870,29,0x6B,1.823331,-1.283749,10.029516,0.118661,0.250913,-0.032376,21.07
148873,30,0x6A,-2.116452,-6.234499,7.953743,-0.254731,-0.293368,-0.293979,18.92
148873,30,0x6B,1.849652,-1.296910,10.063016,0.118508,0.249538,-0.027031,21.07
148875,31,0x6A,-2.438286,-6.246464,7.735996,-0.193950,-0.296575,-0.276875,18.92
148875,31,0x6B,1.840081,-1.276571,10.114462,0.115912,0.248928,-0.026420,21.07
148878,32,0x6A,-2.513660,-6.063413,7.570890,-0.212123,-0.280845,-0.246484,18.92
148878,32,0x6B,1.779064,-1.310070,10.176675,0.116370,0.247248,-0.021380,21.07
148880,33,0x6A,-2.127219,-6.452246,7.278966,-0.248622,-0.264810,-0.239001,18.92
