timestamp_ms,sample_number,imu,ax,ay,az,gx,gy,gz
29369,0,0x6A,1.999203,-7.975278,4.279563,-0.262061,-0.429591,-1.283733
29369,0,0x6B,8.689535,2.865405,1.044467,-0.226631,-0.396146,-0.646601
29372,1,0x6A,2.018346,-7.862815,4.195815,-0.273209,-0.439212,-1.300990
29372,1,0x6B,8.627322,2.848655,1.030110,-0.226173,-0.396910,-0.647823
29374,2,0x6A,1.994418,-7.892725,4.262814,-0.293368,-0.435852,-1.307862
29374,2,0x6B,8.645268,2.858227,1.001396,-0.222813,-0.401797,-0.649350
29377,3,0x6A,1.927419,-8.020741,4.252046,-0.313832,-0.434478,-1.311222
29377,3,0x6B,8.693125,2.867798,1.014557,-0.220675,-0.404698,-0.650419
29379,4,0x6A,1.925026,-8.073383,4.269992,-0.331089,-0.435241,-1.311375
29379,4,0x6B,8.630911,2.864209,1.024128,-0.220522,-0.407447,-0.649808
29382,5,0x6A,1.892723,-8.128419,4.269992,-0.344528,-0.432798,-1.312749
29382,5,0x6B,8.633304,2.845066,1.007378,-0.216704,-0.414472,-0.652251
29384,6,0x6A,1.869991,-8.163115,4.298706,-0.356287,-0.432645,-1.313360
29384,6,0x6B,8.614162,2.894119,1.037289,-0.211512,-0.415999,-0.652862
29387,7,0x6A,1.854438,-8.148758,4.265206,-0.363312,-0.432034,-1.310306
29387,7,0x6B,8.605787,2.890530,1.056431,-0.206320,-0.426231,-0.650724
29389,8,0x6A,1.841277,-8.280362,4.262814,-0.368963,-0.433714,-1.306030
29389,8,0x6B,8.596216,2.925226,1.044467,-0.202196,-0.435852,-0.650266
29392,9,0x6A,1.867598,-8.116454,4.177869,-0.368657,-0.446084,-1.303586
29392,9,0x6B,8.611769,2.920440,1.061217,-0.194561,-0.438296,-0.650571
29394,10,0x6A,1.884348,-8.094919,4.164708,-0.350026,-0.457691,-1.313055
29394,10,0x6B,8.618947,2.879762,1.109073,-0.187841,-0.449750,-0.652099
29397,11,0x6A,1.896312,-8.088937,4.080959,-0.346055,-0.467006,-1.315651
29397,11,0x6B,8.599805,2.894119,1.085145,-0.180053,-0.451277,-0.647059
29399,12,0x6A,1.952543,-8.065009,4.023531,-0.334754,-0.474948,-1.319316
29399,12,0x6B,8.597412,2.896512,1.081556,-0.173180,-0.463494,-0.643394
29402,13,0x6A,2.012364,-8.086544,3.929015,-0.324064,-0.479987,-1.320080
29402,13,0x6B,8.604589,2.949154,1.115055,-0.162948,-0.463494,-0.641256
29404,14,0x6A,2.005185,-8.015956,3.838088,-0.309709,-0.491899,-1.323592
29404,14,0x6B,8.595018,2.920440,1.135394,-0.156382,-0.471283,-0.634994
29407,15,0x6A,2.027917,-7.990831,3.756732,-0.302226,-0.497397,-1.326952
29407,15,0x6B,8.617751,2.928815,1.122234,-0.147524,-0.474795,-0.629497
29409,16,0x6A,2.086541,-8.031509,3.609573,-0.303295,-0.502589,-1.326647
29409,16,0x6B,8.626126,2.913262,1.111466,-0.139277,-0.477544,-0.623846
29412,17,0x6A,2.099702,-8.053044,3.571288,-0.309556,-0.505033,-1.326952
29412,17,0x6B,8.584252,2.878566,1.107877,-0.128740,-0.480751,-0.619112
29414,18,0x6A,2.066202,-8.068598,3.544966,-0.325133,-0.514654,-1.328174
29414,18,0x6B,8.611769,2.859423,1.127020,-0.121868,-0.487318,-0.607353
29417,19,0x6A,2.048256,-8.082954,3.485146,-0.341321,-0.518166,-1.327257
29417,19,0x6B,8.618947,2.834299,1.116252,-0.105680,-0.489303,-0.599411
29419,20,0x6A,2.074577,-8.139186,3.523431,-0.352927,-0.520457,-1.318705
29419,20,0x6B,8.591430,2.857030,1.069592,-0.094073,-0.490525,-0.592081
29422,21,0x6A,2.127219,-8.094919,3.403790,-0.356745,-0.527940,-1.315498
29422,21,0x6B,8.592626,2.803192,1.044467,-0.082772,-0.492968,-0.583224
29424,22,0x6A,2.045863,-8.039885,3.389433,-0.354149,-0.541990,-1.320996
29424,22,0x6B,8.585447,2.740978,1.044467,-0.072540,-0.496786,-0.573297
29427,23,0x6A,2.018346,-8.061419,3.455236,-0.356287,-0.546877,-1.318094
29427,23,0x6B,8.516056,2.764907,1.050449,-0.056200,-0.493121,-0.562607
29429,24,0x6A,1.987239,-8.105686,3.488736,-0.358120,-0.552680,-1.320538
29429,24,0x6B,8.516056,2.752943,1.055235,-0.044746,-0.497092,-0.550390
29432,25,0x6A,1.904687,-8.141579,3.527020,-0.355676,-0.559400,-1.321760
29432,25,0x6B,8.477771,2.712264,1.075574,-0.032070,-0.501215,-0.540158
