time,ax_A,ay_A,az_A,gx_A,gy_A,gz_A,temp_A,ax_B,ay_B,az_B,gx_B,gy_B,gz_B,temp_B
1776658683.651069,2.7039,1.6379,-8.5256,0.3012,0.3595,0.1303,24.84,2.5507,-1.8879,10.471,0.3206,-0.3827,-0.1491,24.89
1776658683.703692,1.7492,1.9238,-7.5589,0.491,0.4024,0.1294,24.85,1.663,-0.7334,5.9689,0.4522,-0.3902,0.0635,24.83
1776658683.756201,2.6369,2.2205,-9.3272,-0.206,-0.1466,-0.5194,24.82,2.5854,-1.9394,9.454,-0.1772,0.1249,0.5203,24.87
1776658683.8110952,4.9986,0.9236,-8.0231,-0.2793,-0.1478,0.0243,24.85,4.1623,-1.8891,9.9529,-0.2669,0.1005,-0.0609,24.91
1776658683.865832,5.9689,1.3017,-12.3482,0.378,0.3094,0.0527,24.85,6.1699,-2.4491,12.2967,0.3871,-0.2896,-0.1051,24.87
1776658683.9220772,7.8604,2.4993,-13.0636,0.3163,0.1501,0.31,24.8,8.0734,-4.1504,13.3807,0.3624,-0.137,-0.3852,24.89
1776658683.9763281,11.4509,3.8046,-13.6594,1.004,0.622,1.4783,24.82,11.0644,-6.7322,16.0546,0.9358,-0.5365,-1.4013,24.82
1776658684.0307984,12.2728,6.7645,-13.7934,1.9832,0.7987,2.657,24.85,11.4736,-7.9346,13.0732,2.002,-0.7889,-2.6461,24.83
1776658684.0851827,13.4955,8.5364,-16.5679,2.1003,1.6503,4.1163,24.81,11.5681,-11.6327,17.9354,2.4509,-1.5783,-4.0925,24.87
1776658684.1426318,10.9029,7.3412,-11.8361,3.1043,1.4047,4.706,24.84,7.3173,-9.8524,9.2542,2.9903,-1.2213,-4.9141,24.86
1776658684.1982691,2.54,7.084,-5.1888,2.2736,2.2581,5.0036,24.81,-0.987,-7.6032,8.4371,2.2555,-2.2205,-5.0036,24.89
1776658684.2539573,-3.0401,4.5571,-4.6241,1.5676,3.8953,5.0036,24.82,-7.1833,-2.9252,3.4301,1.5453,-3.833,-5.0036,24.87
1776658684.3066053,-6.146,1.395,-2.0818,-0.7497,3.4166,3.5804,24.8,-8.1835,0.3924,-0.7226,-0.8114,-3.3106,-3.5429,24.84
1776658684.365376,-10.9077,2.9815,-4.922,-2.7439,1.5572,2.945,24.87,-12.1101,0.4642,6.9751,-2.7672,-1.5528,-2.8592,24.81
