time,ax_A,ay_A,az_A,gx_A,gy_A,gz_A,temp_A,ax_B,ay_B,az_B,gx_B,gy_B,gz_B,temp_B
1776658429.1623437,-3.3942,1.4847,-11.3803,0.2524,-0.4659,0.3877,24.68,-3.7579,-2.3366,11.9091,0.2527,0.4824,-0.4549,24.81
1776658429.2149348,-7.6582,0.9308,-14.4287,0.3813,-0.8772,0.6495,24.64,-8.6907,-3.2327,16.4782,0.343,0.796,-0.7952,24.82
1776658429.2699645,-11.4652,5.1649,-17.0608,0.4652,-1.4044,0.8963,24.67,-11.6411,-3.2925,12.542,0.4603,1.3665,-0.9259,24.82
1776658429.3262906,-16.1898,9.7196,-15.8967,1.1958,-1.9761,-1.2772,24.73,-16.855,-5.9509,14.7793,1.1774,1.9583,1.2645,24.86
1776658429.3802297,-12.335,8.6931,-7.3567,1.4216,-0.7347,-3.5128,24.72,-13.4548,-6.5695,9.6993,1.4288,0.671,3.519,24.84
1776658429.4349356,-6.9607,7.7252,-2.723,1.0953,0.5738,-4.1575,24.73,-8.2313,-7.4201,7.7755,1.1756,-0.7254,4.1554,24.8
1776658429.4924796,0.2285,6.9248,-0.7717,0.4423,0.3102,-3.3423,24.71,-1.212,-8.2899,3.21,0.4426,-0.3651,3.2739,24.85
1776658429.5472307,1.1115,7.6044,0.8662,1.2199,2.0824,-3.7582,24.66,-0.2321,-9.411,-4.8132,1.1258,-1.9609,3.6803,24.85
1776658429.6008403,1.5218,5.9175,2.8187,1.8564,2.3457,-3.4641,24.65,0.4893,-7.1797,0.9823,2.1666,-2.5821,3.4086,24.79
1776658429.6561248,2.2038,0.9165,4.4925,0.7014,1.598,-2.6863,24.68,1.0181,-0.2142,-9.1418,0.4209,-1.2723,2.6921,24.77
1776658429.7127433,4.4949,0.536,3.533,-1.7097,0.3364,-3.9757,24.63,2.4084,0.2429,-3.4636,-1.4937,-0.4023,3.899,24.79
1776658429.7658565,13.2048,-4.41,-4.6074,-1.9236,-0.2859,-3.009,24.6,12.4714,-0.0156,6.4558,-1.9687,0.2738,3.1049,24.79
1776658429.8200476,11.4903,-2.4323,-7.4788,-2.3854,0.7995,-1.9009,24.61,10.7833,2.9815,8.4957,-2.3436,-0.7993,1.8813,24.75
1776658429.87525,12.5827,-3.3894,-10.6528,-2.0017,-0.7045,-1.3682,24.69,12.4176,-0.658,13.5649,-2.137,0.89,1.0647,24.77
1776658429.9304562,11.9629,2.9779,-15.9171,-0.3545,1.372,-0.0192,24.64,11.275,-1.5087,7.9274,0.0261,-0.8968,0.056,24.75
1776658429.9888036,9.0341,0.8626,-12.0108,-0.785,0.2433,0.0333,24.65,9.1645,-0.5958,12.6616,-0.7654,-0.2607,-0.0359,24.77
1776658430.043099,5.3803,0.0778,-12.4846,-0.7743,-0.8622,0.8464,24.62,4.9926,0.3159,14.8654,-0.785,0.8267,-0.8573,24.79
1776658430.0966,6.7454,-2.4981,-12.0084,-0.3668,-1.9342,0.3286,24.65,6.1842,-0.0167,10.3466,-0.4823,2.0036,-0.4117,24.8
1776658430.1517456,4.8574,2.2696,-11.6985,-0.7143,-2.3124,0.942,24.65,3.7208,-2.7039,11.6518,-0.6541,2.3097,-0.9568,24.74
1776658430.2051208,0.2166,4.6074,-11.9557,-0.6691,-1.6803,1.2799,24.68,-0.7825,-1.2455,12.3793,-0.7378,1.7257,-1.4565,24.79
1776658430.2599027,2.2098,-1.188,-7.5218,-0.0649,-2.0013,1.0131,24.68,2.3103,-3.6383,11.4832,-0.2111,2.1275,-0.8618,24.78
