timestamp_ms,sample_number,imu,ax,ay,az,gx,gy,gz
112852,0,0x6A,2.086541,-5.520242,7.953743,0.054825,-0.111025,-0.235030
112852,0,0x6B,9.568897,1.920240,2.416751,0.036652,0.064752,-0.311389
112855,1,0x6A,2.285146,-5.462814,7.950153,0.057879,-0.111330,-0.234725
112855,1,0x6B,9.489935,2.015953,2.140380,0.050549,0.048564,-0.324217
112857,2,0x6A,2.334198,-5.493921,7.862815,0.051160,-0.114537,-0.236710
112857,2,0x6B,9.473186,1.946561,2.522035,0.030849,0.052382,-0.334907
112860,3,0x6A,2.370091,-5.452046,7.934600,0.043066,-0.125533,-0.243583
112860,3,0x6B,9.513863,2.047060,2.334198,0.040623,0.043524,-0.342695
112862,4,0x6A,2.429911,-5.662615,7.934600,0.028711,-0.120646,-0.262061
112862,4,0x6B,9.491131,2.123630,2.280360,0.027031,0.052076,-0.350637
112865,5,0x6A,2.135594,-5.624330,7.944171,0.030085,-0.124006,-0.276875
112865,5,0x6B,9.463614,2.167897,2.475375,0.031765,0.047800,-0.357814
112867,6,0x6A,2.086541,-5.631508,7.990831,0.031460,-0.122020,-0.275348
112867,6,0x6B,9.463614,2.199004,2.251646,0.018937,0.047037,-0.364687
112870,7,0x6A,2.122434,-5.598009,8.049455,0.033903,-0.116981,-0.269086
112870,7,0x6B,9.428918,2.210968,2.373680,0.019242,0.044135,-0.373697
112872,8,0x6A,2.097309,-5.531009,7.938190,0.036499,-0.108887,-0.262977
112872,8,0x6B,9.425329,2.245664,2.464607,0.012065,0.043219,-0.377362
112875,9,0x6A,2.184647,-5.443672,7.878369,0.037415,-0.101098,-0.255494
112875,9,0x6B,9.427721,2.297110,2.470589,0.006261,0.037874,-0.382554
112877,10,0x6A,2.187040,-5.412564,7.830512,0.016799,-0.088270,-0.255494
112877,10,0x6B,9.434900,2.281556,2.389233,-0.003360,0.043524,-0.385303
112880,11,0x6A,2.191825,-5.369494,7.771888,0.000764,-0.078802,-0.251829
112880,11,0x6B,9.433703,2.299503,2.522035,-0.000611,0.033903,-0.392634
112882,12,0x6A,2.315056,-5.394619,7.773085,-0.022907,-0.073609,-0.249997
112882,12,0x6B,9.404989,2.390430,2.328217,-0.007789,0.035277,-0.394314
112885,13,0x6A,2.397608,-5.468796,7.808977,-0.039706,-0.063530,-0.254425
112885,13,0x6B,9.422935,2.346163,2.536392,-0.009621,0.037874,-0.397673
112887,14,0x6A,2.482553,-5.536992,7.880762,-0.051771,-0.056200,-0.258243
112887,14,0x6B,9.413364,2.327020,2.338984,-0.012065,0.034819,-0.400880
112890,15,0x6A,2.494518,-5.615955,7.916654,-0.055131,-0.049938,-0.269086
112890,15,0x6B,9.428918,2.347359,2.571088,-0.013592,0.035430,-0.410807
112892,16,0x6A,2.533999,-5.679365,8.086544,-0.053909,-0.048869,-0.275958
112892,16,0x6B,9.395419,2.373680,2.324627,-0.012828,0.032987,-0.416152
112895,17,0x6A,2.621337,-5.727221,8.121240,-0.047800,-0.045815,-0.294437
112895,17,0x6B,9.426525,2.315056,2.505286,-0.016646,0.036652,-0.423788
112897,18,0x6A,2.648855,-5.702096,8.116454,-0.032070,-0.046578,-0.307723
112897,18,0x6B,9.387044,2.453840,2.322234,-0.015882,0.030238,-0.430202
112900,19,0x6A,2.623730,-5.699704,8.087741,-0.022297,-0.044135,-0.321773
112900,19,0x6B,9.340384,2.476572,2.462215,-0.021533,0.034208,-0.438143
112902,20,0x6A,2.671587,-5.666204,8.054241,-0.015272,-0.045051,-0.333991
112902,20,0x6B,9.359526,2.447858,2.313859,-0.025962,0.031765,-0.446695
112905,21,0x6A,2.634498,-5.618348,8.060224,-0.011454,-0.042761,-0.349415
112905,21,0x6B,9.346365,2.457429,2.435893,-0.029322,0.040928,-0.456469
112907,22,0x6A,2.766103,-5.626722,8.051848,-0.018937,-0.044593,-0.364381
112907,22,0x6B,9.334401,2.530410,2.341377,-0.029932,0.038637,-0.461967
112910,23,0x6A,2.748157,-5.621937,8.092526,-0.020159,-0.043371,-0.379958
112910,23,0x6B,9.321241,2.524428,2.456232,-0.036957,0.041386,-0.472810
112912,24,0x6A,2.780460,-5.673382,8.102098,-0.019090,-0.041844,-0.388816
112912,24,0x6B,9.287742,2.541178,2.382055,-0.038637,0.042761,-0.482584
112915,25,0x6A,2.762514,-5.654240,8.123632,-0.015882,-0.040928,-0.393397
112915,25,0x6B,9.261420,2.580659,2.429911,-0.047647,0.047647,-0.492510
112917,26,0x6A,2.713461,-5.607580,8.097312,-0.011759,-0.038332,-0.403935
112917,26,0x6B,9.250652,2.598605,2.419144,-0.048564,0.051924,-0.499840
112920,27,0x6A,2.691926,-5.542974,8.094919,-0.010079,-0.036499,-0.409432
112920,27,0x6B,9.243474,2.660819,2.463411,-0.061392,0.058643,-0.509614
112922,28,0x6A,2.679961,-5.458029,8.015956,-0.019395,-0.032070,-0.411112
112922,28,0x6B,8.867801,3.032902,2.714657,-0.113468,0.083230,-0.542448
