timestamp_ms,sample_number,imu,ax,ay,az,gx,gy,gz
41678,0,0x6A,-7.992028,-12.815958,11.335998,1.304961,1.458593,3.181081
41678,0,0x6B,13.783854,-5.332406,2.011168,1.276861,-0.076664,2.710867
41680,1,0x6A,-7.921440,-12.526425,11.312069,1.333977,1.486541,3.196047
41680,1,0x6B,13.807784,-5.033303,2.139183,1.324050,-0.067348,2.713310
41683,2,0x6A,-7.840084,-12.235699,11.227124,1.354288,1.511586,3.199407
41683,2,0x6B,13.837693,-3.052045,2.335395,1.332908,-0.057879,2.734691
41685,3,0x6A,-7.805387,-12.032309,11.112268,1.354899,1.544725,3.203988
41685,3,0x6B,13.752748,-1.424926,2.135594,1.213484,-0.061087,2.834415
41688,4,0x6A,-7.726425,-11.840883,10.980664,1.347874,1.570840,3.200170
41688,4,0x6B,13.792230,-3.745964,2.748157,1.114524,-0.068722,2.906497
41690,5,0x6A,-7.824530,-11.726027,10.881360,1.323898,1.599398,3.195589
41690,5,0x6B,13.726428,-2.183451,2.099702,1.074817,-0.072693,2.955213
41693,6,0x6A,-7.881958,-11.563315,10.746166,1.284955,1.630247,3.193298
41693,6,0x6B,13.655840,-2.273182,2.845066,0.924697,-0.077122,3.041040
41695,7,0x6A,-7.984849,-11.484352,10.626525,1.231352,1.658652,3.187953
41695,7,0x6B,13.970495,-5.592027,1.538585,0.890336,-0.076816,3.068376
41698,8,0x6A,-8.091330,-11.389836,10.606187,1.177290,1.684766,3.178485
41698,8,0x6B,13.994424,-6.102894,1.739582,0.888962,-0.021228,3.044247
41700,9,0x6A,-8.187043,-11.271392,10.561919,1.072527,1.717448,3.171765
41700,9,0x6B,14.014763,-5.818149,2.194218,0.951881,-0.008705,3.026685
41703,10,0x6A,-8.208578,-11.174481,10.526027,0.994183,1.736843,3.164587
41703,10,0x6B,14.145171,-5.408976,1.563710,0.957684,0.016493,3.020729
41705,11,0x6A,-8.294720,-11.084750,10.615758,0.912022,1.758986,3.154814
41705,11,0x6B,14.306686,-5.172086,2.090131,0.969443,0.021533,3.034779
41708,12,0x6A,-8.398808,-10.983056,10.779666,0.824821,1.777465,3.147025
41708,12,0x6B,14.596219,-4.234099,2.074577,0.967152,0.020464,3.073263
41710,13,0x6A,-8.505288,-10.993823,10.930414,0.736551,1.797471,3.141069
41710,13,0x6B,14.711074,-3.390630,2.370091,0.927752,0.007941,3.175736
41713,14,0x6A,-8.673983,-11.082358,11.125429,0.658665,1.817019,3.139695
41713,14,0x6B,14.781662,-1.010968,2.090131,0.845285,-0.010537,3.282790
41715,15,0x6A,-8.888140,-11.219945,11.430513,0.589485,1.833817,3.142902
41715,15,0x6B,14.894125,-2.583052,2.568695,0.719905,-0.040317,3.434132
41718,16,0x6A,-9.273384,-11.590833,11.608779,0.530384,1.849547,3.145803
41718,16,0x6B,14.989837,-1.086341,2.191825,0.668287,-0.067042,3.547905
41720,17,0x6A,-9.533006,-11.822936,11.783455,0.446390,1.883603,3.153286
41720,17,0x6B,14.997016,-2.744568,2.657229,0.538172,-0.101404,3.703523
41723,18,0x6A,-9.725628,-12.072988,11.869597,0.402560,1.901776,3.161991
41723,18,0x6B,15.546169,-6.352944,1.225125,0.583224,-0.109345,3.759876
41725,19,0x6A,-9.866805,-12.227324,11.955738,0.363465,1.925295,3.175583
41725,19,0x6B,15.748363,-6.921240,0.880559,0.630718,-0.059407,3.749644
41728,20,0x6A,-9.890733,-12.357734,12.088540,0.335976,1.949271,3.188106
41728,20,0x6B,15.806986,-6.832705,1.777867,0.719905,-0.032987,3.741855
41730,21,0x6A,-9.799805,-12.446267,12.220145,0.303753,1.969888,3.200018
41730,21,0x6B,15.932611,-6.360123,1.521835,0.760680,-0.009774,3.740328
41733,22,0x6A,-9.702895,-12.546766,12.421143,0.277486,1.988824,3.213915
41733,22,0x6B,15.900307,-4.761717,1.779064,0.766025,0.004123,3.750713
41735,23,0x6A,-9.632308,-12.656836,12.667603,0.258396,2.006540,3.230408
41735,23,0x6B,15.761523,-2.240878,1.696511,0.666759,0.001985,3.846618
41738,24,0x6A,-9.567701,-12.891332,12.745370,0.242208,2.020437,3.248429
41738,24,0x6B,15.674185,-4.170690,2.155933,0.541074,-0.014050,3.948480
41740,25,0x6A,-9.635897,-13.182060,12.741781,0.236099,2.041512,3.275154
41740,25,0x6B,15.601204,-3.058027,1.294517,0.485943,-0.005192,4.014606
41743,26,0x6A,-9.693325,-13.393826,12.701102,0.237321,2.052355,3.298672
41743,26,0x6B,15.170495,-2.636891,1.990828,0.329409,0.003818,4.130365
41745,27,0x6A,-9.768699,-13.624732,12.736995,0.235183,2.064725,3.318372
41745,27,0x6B,15.425332,-6.880561,0.683151,0.307265,0.026725,4.180304
41748,28,0x6A,-9.893125,-13.820944,12.747763,0.230296,2.080912,3.338378
41748,28,0x6B,11.753544,-9.613165,1.137787,0.466243,0.748615,4.799721
41864,29,0x6A,-5.536992,-12.903296,8.603394,0.355829,3.194825,4.453818
41864,29,0x6B,11.644671,-9.748360,0.994218,0.510989,0.758542,4.798652
41867,30,0x6A,-5.444868,-13.040884,8.518449,0.276264,3.218038,4.465883
41867,30,0x6B,11.611172,-9.956535,0.991825,0.555429,0.774883,4.791169
41869,31,0x6A,-5.397011,-13.121043,8.426325,0.197615,3.239877,4.486499
