timestamp_ms,sample_number,imu,ax,ay,az,gx,gy,gz
48432,0,0x6A,-9.550952,-12.443874,8.444270,0.195782,0.447917,0.948674
48432,0,0x6B,10.243674,-1.813760,-0.838684,1.581836,0.218384,1.418124
48435,1,0x6A,-9.684950,-12.643675,8.462217,0.298255,0.465479,1.012356
48435,1,0x6B,10.438688,-1.915455,-0.863809,1.579239,0.250913,1.474629
48437,2,0x6A,-9.808180,-12.917653,8.467003,0.402560,0.481515,1.078483
48437,2,0x6B,10.622936,-1.926222,-0.969093,1.584737,0.279165,1.534493
48440,3,0x6A,-9.935000,-13.138988,8.615358,0.492052,0.502895,1.141554
48440,3,0x6B,10.835897,-2.019542,-1.049253,1.587486,0.308334,1.595733
48442,4,0x6A,-9.990034,-13.368700,8.726624,0.583071,0.524886,1.204015
48442,4,0x6B,10.938789,-2.103291,-1.087538,1.592984,0.339641,1.657888
48445,5,0x6A,-10.066606,-13.578073,8.824731,0.669356,0.547183,1.264491
48445,5,0x6B,11.219945,-2.243271,-1.091127,1.598634,0.366672,1.724320
48447,6,0x6A,-10.104890,-13.872389,8.971889,0.750906,0.577115,1.319163
48447,6,0x6B,11.370693,-2.328217,-1.150948,1.615128,0.407600,1.824044
48450,7,0x6A,-10.119247,-14.248063,9.053245,0.827875,0.607506,1.376279
48450,7,0x6B,11.570494,-2.451447,-1.269392,1.632995,0.431271,1.887421
48452,8,0x6A,-10.128819,-14.440684,9.047263,0.918741,0.664774,1.452943
48452,8,0x6B,11.763116,-2.512464,-1.278964,1.653001,0.456622,1.952020
48455,9,0x6A,-10.053444,-14.561522,9.043673,0.955851,0.707535,1.502118
48455,9,0x6B,11.871989,-2.532803,-1.289732,1.680643,0.485027,2.017077
48457,10,0x6A,-10.072587,-14.660824,9.056834,0.976315,0.754266,1.545489
48457,10,0x6B,12.101701,-2.586641,-1.336391,1.702940,0.510836,2.084730
48460,11,0x6A,-9.950553,-14.719449,9.067601,0.977995,0.798554,1.591304
48460,11,0x6B,12.202198,-2.640480,-1.347159,1.729818,0.541990,2.150246
48462,12,0x6A,-9.951750,-14.882160,9.086744,0.968985,0.843910,1.634064
48462,12,0x6B,12.372089,-2.664408,-1.348356,1.750434,0.578489,2.218357
48465,13,0x6A,-9.920643,-15.016159,9.218349,0.946078,0.891100,1.682017
