timestamp_ms,sample_number,imu,ax,ay,az,gx,gy,gz,temp
9395,0,0x6A,-5.471189,0.356531,-7.875976,-0.102167,0.127365,-0.020159,23.00
9395,0,0x6B,-5.534599,-0.830309,7.944171,-0.102778,-0.131947,0.004734,23.18
9445,1,0x6A,-5.860023,0.330210,-7.896315,-0.065210,0.150120,-0.007636,22.96
9445,1,0x6B,-5.954540,-0.796810,8.176275,-0.051771,-0.177609,-0.007025,23.19
9495,2,0x6A,-5.728417,0.100499,-8.341380,-0.050702,0.115454,0.033445,23.01
9495,2,0x6B,-5.789434,-0.713061,8.075776,-0.047342,-0.105985,-0.054062,23.23
9545,3,0x6A,-6.051448,0.246461,-7.800602,0.025809,0.028100,0.101251,22.98
9545,3,0x6B,-6.141179,-0.838684,7.990831,0.031307,-0.036194,-0.122173,23.18
9595,4,0x6A,-5.773881,-0.053839,-7.807780,0.083841,0.032987,0.182343,22.99
9595,4,0x6B,-5.751149,-0.829113,7.624729,0.105832,-0.048564,-0.241444,23.20
9645,5,0x6A,-6.035895,0.265603,-7.794620,0.268933,0.116675,0.299019,23.01
9645,5,0x6B,-6.156733,-0.647258,8.002795,0.268781,-0.109039,-0.315970,23.20
9695,6,0x6A,-5.721239,-0.256032,-7.885547,0.127671,0.060628,0.392634,22.98
9695,6,0x6B,-5.767899,-0.709472,8.031509,0.115148,-0.052687,-0.433714,23.20
9745,7,0x6A,-6.087341,0.090927,-7.944171,0.088117,0.009774,0.596815,23.00
9745,7,0x6B,-6.458229,-0.488136,8.276773,0.080634,-0.013897,-0.633925,23.22
9795,8,0x6A,-6.165108,-0.386441,-8.822337,-0.090103,0.206014,0.928362,23.00
9795,8,0x6B,-6.240481,-1.192822,8.742178,-0.070860,-0.193033,-0.919199,23.20
9845,9,0x6A,-6.689136,1.409373,-10.709077,-0.789238,-0.623693,1.623069,22.98
9845,9,0x6B,-6.878169,-2.267200,8.134401,-0.809702,0.611018,-1.613753,23.22
9895,10,0x6A,-7.780263,1.028914,-9.846465,-1.484708,-1.479668,1.547474,22.94
9895,10,0x6B,-7.927422,-2.031507,9.141779,-1.551445,1.560608,-1.515251,23.18
9945,11,0x6A,-6.077770,3.647858,-8.700304,-1.191645,-1.805107,1.516626,22.98
9945,11,0x6B,-6.647262,-3.998407,8.559127,-1.231657,1.823127,-1.499216,23.18
9995,12,0x6A,-6.003592,4.335794,-7.067202,-1.086577,-1.940566,1.237002,22.96
9995,12,0x6B,-6.531209,-4.058227,7.485946,-1.114524,1.950187,-1.208902,23.18
10045,13,0x6A,-5.355137,4.743771,-6.729814,-0.709062,-1.908343,0.713185,22.94
10045,13,0x6B,-5.562116,-4.632505,5.858827,-0.680046,1.965764,-0.580322,23.23
10095,14,0x6A,-4.161119,5.491528,-4.517649,-0.552069,-2.330909,0.122173,22.98
10095,14,0x6B,-4.703093,-4.851448,4.438686,-0.570854,2.324953,-0.071471,23.23
10145,15,0x6A,-3.991228,5.358726,-1.783849,-0.316123,-1.870622,-0.392786,23.02
10145,15,0x6B,-4.354938,-5.091927,3.017349,-0.323148,1.794722,0.423635,23.22
10195,16,0x6A,-4.017549,4.950750,0.209372,-0.247095,-1.269531,-0.651946,23.03
10195,16,0x6B,-3.909872,-4.578666,1.310070,-0.214261,0.963182,0.715476,23.21
10245,17,0x6A,-3.583252,4.729414,3.035296,-0.141873,0.114995,-0.750753,22.97
10245,17,0x6B,-3.572484,-4.711468,0.184247,-0.134543,-0.000153,0.731969,23.24
10295,18,0x6A,-4.944768,4.768896,0.131605,-0.101251,1.633301,-1.127810,22.98
10295,18,0x6B,-5.582456,-3.853641,1.730011,-0.049786,-1.751351,1.154993,23.20
10345,19,0x6A,-6.550352,4.341777,-3.588037,0.062461,2.052202,-1.619404,22.98
10345,19,0x6B,-7.689335,-3.842873,6.519246,0.162185,-2.185523,1.656056,23.23
10395,20,0x6A,-10.071390,2.181058,-10.498509,0.634384,2.368019,-2.222633,22.99
10395,20,0x6B,-10.971092,-2.076970,8.792427,0.690125,-2.424829,2.161241,23.23
10445,21,0x6A,-12.022738,2.873780,-10.652845,0.511447,1.229061,-2.503479,23.00
10445,21,0x6B,-12.776477,-2.773281,9.477971,0.560163,-1.293813,2.461787,23.26
10495,22,0x6A,-9.561719,1.209572,-10.876576,0.307571,0.181122,-2.539978,22.99
10495,22,0x6B,-10.242477,-1.142573,7.415358,0.253814,0.099724,2.526233,23.21
10545,23,0x6A,-8.033902,-1.020539,-6.832705,0.426842,-1.025643,-2.485305,23.05
10545,23,0x6B,-8.730214,0.557528,7.392625,0.428064,0.969596,2.474157,23.23
10595,24,0x6A,-7.089933,-2.639283,-5.239085,0.579100,-1.098794,-2.251497,23.04
10595,24,0x6B,-7.734799,1.819742,5.020142,0.571617,1.051910,2.235003,23.24
10645,25,0x6A,-6.687939,-3.824927,-3.544966,0.135612,-1.359175,-2.047926,23.02
10645,25,0x6B,-7.026524,2.811567,3.135794,0.012217,1.317331,1.939650,23.22
10695,26,0x6A,-5.408976,-5.903093,-1.269392,-0.439823,-1.080010,-1.182635,23.07
